ts,bs,rss_dbm,sinr_db,capacity_mbps,serving
02:45:34,BS1,-73.59,-2.47,12.94,0
02:45:34,BS2,-75.83,-5.59,7.03,0
02:45:34,BS3,-72.95,-1.42,15.66,1
02:45:35,BS1,-73.82,-2.78,12.21,0
02:45:35,BS2,-75.61,-5.28,7.49,0
02:45:35,BS3,-72.94,-1.35,15.87,1
02:45:36,BS1,-74.04,-3.07,11.56,0
02:45:36,BS2,-75.38,-4.95,8.01,0
02:45:36,BS3,-72.95,-1.33,15.92,1
02:45:37,BS1,-74.26,-3.37,10.92,0
02:45:37,BS2,-75.16,-4.62,8.55,0
02:45:37,BS3,-72.96,-1.31,15.97,1
02:45:38,BS1,-74.48,-3.66,10.33,0
02:45:38,BS2,-74.92,-4.29,9.13,0
02:45:38,BS3,-72.98,-1.32,15.94,1
02:45:39,BS1,-64.68,-5.73,6.84,0
02:45:39,BS2,-60.17,1.68,26.11,0
02:45:39,BS3,-65.06,-6.20,6.20,1
02:45:40,BS1,-64.90,-6.11,6.32,0
02:45:40,BS2,-59.96,2.00,27.42,1
02:45:40,BS3,-65.06,-6.31,6.07,0
02:45:41,BS1,-65.11,-6.49,5.84,0
02:45:41,BS2,-59.73,2.35,28.84,1
02:45:41,BS3,-65.08,-6.45,5.89,0
02:45:42,BS1,-65.33,-6.88,5.39,0
02:45:42,BS2,-59.51,2.68,30.26,1
02:45:42,BS3,-65.09,-6.59,5.72,0
02:45:43,BS1,-65.53,-7.26,4.97,0
02:45:43,BS2,-59.27,3.04,31.83,1
02:45:43,BS3,-65.13,-6.78,5.49,0
02:45:44,BS1,-75.89,-3.32,11.03,0
02:45:44,BS2,-72.94,2.25,28.45,1
02:45:44,BS3,-83.89,-12.75,1.49,0
02:45:45,BS1,-76.10,-3.73,10.19,0
02:45:45,BS2,-72.72,2.66,30.16,1
02:45:45,BS3,-83.92,-12.86,1.45,0
02:45:46,BS1,-76.30,-4.14,9.41,0
02:45:46,BS2,-72.49,3.06,31.92,1
02:45:46,BS3,-83.95,-12.99,1.41,0
02:45:47,BS1,-76.48,-4.57,8.65,0
02:45:47,BS2,-72.22,3.50,33.90,1
02:45:47,BS3,-84.05,-13.23,1.34,0
02:45:48,BS1,-76.66,-5.00,7.93,0
02:45:48,BS2,-71.94,3.94,35.96,1
02:45:48,BS3,-84.16,-13.50,1.26,0
02:45:49,BS1,-77.34,-11.82,1.84,0
02:45:49,BS2,-65.65,10.06,69.56,1
02:45:49,BS3,-80.97,-15.61,0.78,0
02:45:50,BS1,-77.50,-12.27,1.66,0
02:45:50,BS2,-65.35,10.52,72.32,1
02:45:50,BS3,-81.11,-16.02,0.71,0
02:45:51,BS1,-77.65,-12.73,1.50,0
02:45:51,BS2,-65.03,10.98,75.19,1
02:45:51,BS3,-81.26,-16.47,0.64,0
02:45:52,BS1,-77.79,-13.20,1.35,0
02:45:52,BS2,-64.69,11.46,78.14,1
02:45:52,BS3,-81.42,-16.94,0.58,0
02:45:53,BS1,-77.93,-13.66,1.22,0
02:45:53,BS2,-64.35,11.95,81.19,1
02:45:53,BS3,-81.59,-17.44,0.52,0
02:45:54,BS1,-71.76,-6.43,5.92,0
02:45:54,BS2,-65.39,6.14,47.06,1
02:45:54,BS3,-84.80,-20.32,0.27,0
02:45:55,BS1,-71.89,-6.92,5.34,0
02:45:55,BS2,-65.03,6.63,49.74,1
02:45:55,BS3,-84.97,-20.76,0.24,0
02:45:56,BS1,-72.03,-7.41,4.81,0
02:45:56,BS2,-64.66,7.14,52.52,1
02:45:56,BS3,-85.14,-21.22,0.22,0
02:45:57,BS1,-72.17,-7.92,4.32,0
02:45:57,BS2,-64.29,7.65,55.40,1
02:45:57,BS3,-85.31,-21.68,0.20,0
02:45:58,BS1,-72.33,-8.43,3.87,0
02:45:58,BS2,-63.93,8.16,58.32,1
02:45:58,BS3,-85.46,-22.11,0.18,0
02:45:59,BS1,-64.01,-11.00,2.21,0
02:45:59,BS2,-53.05,10.47,72.04,1
02:45:59,BS3,-73.30,-20.59,0.25,0
02:46:00,BS1,-64.17,-11.51,1.97,0
02:46:00,BS2,-52.69,10.99,75.20,1
02:46:00,BS3,-73.45,-21.05,0.23,0
02:46:01,BS1,-64.34,-12.00,1.76,0
02:46:01,BS2,-52.37,11.48,78.23,1
02:46:01,BS3,-73.56,-21.46,0.21,0
02:46:02,BS1,-64.49,-12.53,1.57,0
02:46:02,BS2,-51.99,12.01,81.55,1
02:46:02,BS3,-73.71,-21.96,0.18,0
02:46:03,BS1,-64.65,-13.06,1.39,0
02:46:03,BS2,-51.62,12.53,84.83,1
02:46:03,BS3,-73.85,-22.45,0.16,0
02:46:04,BS1,-75.98,-9.17,3.30,0
02:46:04,BS2,-68.55,1.73,26.31,1
02:46:04,BS3,-71.67,-3.85,9.97,0
02:46:05,BS1,-76.14,-9.53,3.05,0
02:46:05,BS2,-68.17,2.25,28.44,1
02:46:05,BS3,-71.81,-4.29,9.13,0
02:46:06,BS1,-76.29,-9.91,2.80,0
02:46:06,BS2,-67.81,2.76,30.61,1
02:46:06,BS3,-71.95,-4.73,8.38,0
02:46:07,BS1,-76.46,-10.29,2.58,0
02:46:07,BS2,-67.47,3.23,32.68,1
02:46:07,BS3,-72.07,-5.12,7.73,0
02:46:08,BS1,-76.63,-10.64,2.39,0
02:46:08,BS2,-67.20,3.62,34.44,1
02:46:08,BS3,-72.16,-5.44,7.25,0
02:46:09,BS1,-61.88,-15.30,0.84,0
02:46:09,BS2,-46.58,15.26,102.22,1
02:46:09,BS3,-82.68,-36.23,0.01,0
02:46:10,BS1,-62.03,-15.78,0.75,0
02:46:10,BS2,-46.25,15.74,105.35,1
02:46:10,BS3,-82.81,-36.68,0.01,0
02:46:11,BS1,-62.19,-16.25,0.68,0
02:46:11,BS2,-45.94,16.21,108.37,1
02:46:11,BS3,-82.94,-37.10,0.01,0
02:46:12,BS1,-62.35,-16.70,0.61,0
02:46:12,BS2,-45.65,16.66,111.30,1
02:46:12,BS3,-83.06,-37.51,0.01,0
02:46:13,BS1,-62.50,-17.17,0.55,0
02:46:13,BS2,-45.33,17.13,114.36,1
02:46:13,BS3,-83.19,-37.95,0.00,0
02:46:14,BS1,-69.81,-5.36,7.37,0
02:46:14,BS2,-64.46,5.33,42.82,1
02:46:14,BS3,-98.09,-34.75,0.01,0
02:46:15,BS1,-69.96,-5.76,6.79,0
02:46:15,BS2,-64.21,5.73,44.90,1
02:46:15,BS3,-98.21,-35.03,0.01,0
02:46:16,BS1,-70.12,-6.04,6.41,0
02:46:16,BS2,-64.09,6.01,46.38,1
02:46:16,BS3,-98.30,-35.18,0.01,0
02:46:17,BS1,-70.28,-6.25,6.14,0
02:46:17,BS2,-64.04,6.22,47.49,1
02:46:17,BS3,-98.37,-35.26,0.01,0
02:46:18,BS1,-70.44,-6.50,5.83,0
02:46:18,BS2,-63.94,6.47,48.85,1
02:46:18,BS3,-98.47,-35.41,0.01,0
